param,estimate,rses,rsesColor,rsesColorCounts,AIC,CorrelationsYellow,CorrelationsOrange,CorrelationsRed,Run,Description
log10beta_pop,-3.951152664,-5.247365942,NA,NA,471.22,NA,NA,NA,025B,"Fit all prms, Dynamics=cat covc,log10beta,tstartB"
log10pT0_pop,5.082424059,NA,NA,NA,471.22,NA,NA,NA,025B,"Fit all prms, Dynamics=cat covc,log10beta,tstartB"
omega_c,1.695506703,46.02531498,NA,NA,471.22,NA,NA,NA,025B,"Fit all prms, Dynamics=cat covc,log10beta,tstartB"
omega_delta,1.079750406,26.92888408,NA,NA,471.22,NA,NA,NA,025B,"Fit all prms, Dynamics=cat covc,log10beta,tstartB"
omega_log10beta,0.259957967,51.53878211,Yellow,NA,471.22,NA,NA,NA,025B,"Fit all prms, Dynamics=cat covc,log10beta,tstartB"
omega_log10pT0,0.158042358,89.16025038,Yellow,NA,471.22,NA,NA,NA,025B,"Fit all prms, Dynamics=cat covc,log10beta,tstartB"
omega_tstart,0.530101702,33.99315894,NA,NA,471.22,NA,NA,NA,025B,"Fit all prms, Dynamics=cat covc,log10beta,tstartB"
tstart_pop,2.447572792,34.13054374,NA,NA,471.22,NA,NA,NA,025B,"Fit all prms, Dynamics=cat covc,log10beta,tstartB"
a,0.598191049,7.695236903,NA,Red= 0,507.74,NA - NA,delta - log10pT0,NA - NA,026B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10betaB"
beta_c_Dynamics_Rebound,-8.465342662,NA,NA,Orange= 1,507.74,NA,delta - c,NA,026B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10betaB"
beta_delta_Dynamics_Rebound,4.908396588,87.31644803,Yellow,Yellow= 5,507.74,NA,NA,NA,026B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10betaB"
beta_log10beta_Dynamics_Rebound,0.465960724,98.80914269,Yellow,NA,507.74,NA,NA,NA,026B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10betaB"
beta_log10pT0_Dynamics_Rebound,-1.418840435,-32.98206791,NA,NA,507.74,NA,NA,NA,026B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10betaB"
c_pop,49.91337324,NA,NA,NA,507.74,NA,NA,NA,026B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10betaB"
delta_pop,0.035504606,96.53816725,Yellow,NA,507.74,NA,NA,NA,026B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10betaB"
log10beta_pop,-4.311888205,-15.44695368,NA,NA,507.74,NA,NA,NA,026B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10betaB"
log10pT0_pop,7.311285052,3.536797157,NA,NA,507.74,NA,NA,NA,026B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10betaB"
omega_c,3.450084067,29.46542755,NA,NA,507.74,NA,NA,NA,026B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10betaB"
omega_delta,1.986538691,59.90955782,Yellow,NA,507.74,NA,NA,NA,026B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10betaB"
omega_log10beta,0.651743768,193.7441099,Orange,NA,507.74,NA,NA,NA,026B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10betaB"
omega_log10pT0,0.503187287,45.71830045,NA,NA,507.74,NA,NA,NA,026B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10betaB"
omega_tstart,0.688344461,66.47241918,Yellow,NA,507.74,NA,NA,NA,026B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10betaB"
tstart_pop,4.986424071,31.13887997,NA,NA,507.74,NA,NA,NA,026B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10betaB"
a,0.819386782,13.03165666,NA,Red= 1,545.41,log10pT0 - c,delta - log10beta,NA - NA,027B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,tstartB"
beta_c_Dynamics_Rebound,-0.210235661,-1653.008132,Red,Orange= 1,545.41,NA,NA,NA,027B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,tstartB"
beta_delta_Dynamics_Rebound,1.148146931,NA,NA,Yellow= 3,545.41,NA,NA,NA,027B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,tstartB"
beta_log10pT0_Dynamics_Rebound,-1.824455332,-41.67806842,NA,NA,545.41,NA,NA,NA,027B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,tstartB"
beta_tstart_Dynamics_Rebound,2.866301944,8.44034552,NA,NA,545.41,NA,NA,NA,027B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,tstartB"
c_pop,19.15062745,162.1528965,Orange,NA,545.41,NA,NA,NA,027B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,tstartB"
delta_pop,7.052670021,NA,NA,NA,545.41,NA,NA,NA,027B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,tstartB"
log10beta_pop,-2.398237733,-76.61849683,Yellow,NA,545.41,NA,NA,NA,027B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,tstartB"
log10pT0_pop,9.110828671,6.274686968,NA,NA,545.41,NA,NA,NA,027B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,tstartB"
omega_c,1.837373817,45.8896329,NA,NA,545.41,NA,NA,NA,027B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,tstartB"
omega_delta,0.408018747,73.84455229,Yellow,NA,545.41,NA,NA,NA,027B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,tstartB"
omega_log10beta,1.846357725,37.89584435,NA,NA,545.41,NA,NA,NA,027B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,tstartB"
omega_log10pT0,0.477487323,72.21489901,Yellow,NA,545.41,NA,NA,NA,027B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,tstartB"
omega_tstart,0.569875348,38.48258152,NA,NA,545.41,NA,NA,NA,027B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,tstartB"
tstart_pop,0.767461521,NA,NA,NA,545.41,NA,NA,NA,027B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,tstartB"
a,0.623560585,306.3699268,Red,Red= 15,500.77,delta - log10beta,NA - NA,NA - NA,028B,"Fit all prms, Dynamics=cat covdelta,log10pT0,log10beta,tstartB"
beta_delta_Dynamics_Rebound,-3.532717657,-8206.674442,Red,Orange= 0,500.77,log10pT0 - tstart,NA,NA,028B,"Fit all prms, Dynamics=cat covdelta,log10pT0,log10beta,tstartB"
beta_log10beta_Dynamics_Rebound,1.508378733,2546.840162,Red,Yellow= 0,500.77,NA,NA,NA,028B,"Fit all prms, Dynamics=cat covdelta,log10pT0,log10beta,tstartB"
beta_log10pT0_Dynamics_Rebound,-4.090194127,-3145.358557,Red,NA,500.77,NA,NA,NA,028B,"Fit all prms, Dynamics=cat covdelta,log10pT0,log10beta,tstartB"
beta_tstart_Dynamics_Rebound,12.48185681,263.4942436,Red,NA,500.77,NA,NA,NA,028B,"Fit all prms, Dynamics=cat covdelta,log10pT0,log10beta,tstartB"
c_pop,9.733319739,10072.09167,Red,NA,500.77,NA,NA,NA,028B,"Fit all prms, Dynamics=cat covdelta,log10pT0,log10beta,tstartB"
delta_pop,12.69059679,17546.86143,Red,NA,500.77,NA,NA,NA,028B,"Fit all prms, Dynamics=cat covdelta,log10pT0,log10beta,tstartB"
log10beta_pop,-5.146961941,-391.2268036,Red,NA,500.77,NA,NA,NA,028B,"Fit all prms, Dynamics=cat covdelta,log10pT0,log10beta,tstartB"
log10pT0_pop,9.298224178,1270.432737,Red,NA,500.77,NA,NA,NA,028B,"Fit all prms, Dynamics=cat covdelta,log10pT0,log10beta,tstartB"
omega_c,0.825200715,7395.208699,Red,NA,500.77,NA,NA,NA,028B,"Fit all prms, Dynamics=cat covdelta,log10pT0,log10beta,tstartB"
omega_delta,1.317775596,1076.189277,Red,NA,500.77,NA,NA,NA,028B,"Fit all prms, Dynamics=cat covdelta,log10pT0,log10beta,tstartB"
omega_log10beta,0.590924111,1048.414687,Red,NA,500.77,NA,NA,NA,028B,"Fit all prms, Dynamics=cat covdelta,log10pT0,log10beta,tstartB"
omega_log10pT0,0.656507319,9436.179396,Red,NA,500.77,NA,NA,NA,028B,"Fit all prms, Dynamics=cat covdelta,log10pT0,log10beta,tstartB"
omega_tstart,0.606368918,3914.227178,Red,NA,500.77,NA,NA,NA,028B,"Fit all prms, Dynamics=cat covdelta,log10pT0,log10beta,tstartB"
tstart_pop,3.98E-05,3968.367085,Red,NA,500.77,NA,NA,NA,028B,"Fit all prms, Dynamics=cat covdelta,log10pT0,log10beta,tstartB"
a,0.614675368,8.326067342,NA,Red= 2,472.81,log10pT0 - log10beta,NA - NA,NA - NA,029B,"Fit all prms, Dynamics=cat covdelta,c,log10beta,tstartB"
beta_c_Dynamics_Rebound,6.961982768,51.87757822,Yellow,Orange= 3,472.81,NA,NA,NA,029B,"Fit all prms, Dynamics=cat covdelta,c,log10beta,tstartB"
beta_delta_Dynamics_Rebound,-0.004924041,-19907.93976,Red,Yellow= 4,472.81,NA,NA,NA,029B,"Fit all prms, Dynamics=cat covdelta,c,log10beta,tstartB"
beta_log10beta_Dynamics_Rebound,0.206423724,380.4254956,Red,NA,472.81,NA,NA,NA,029B,"Fit all prms, Dynamics=cat covdelta,c,log10beta,tstartB"
beta_tstart_Dynamics_Rebound,0.944168002,72.56417343,Yellow,NA,472.81,NA,NA,NA,029B,"Fit all prms, Dynamics=cat covdelta,c,log10beta,tstartB"
c_pop,0.150627847,162.2474095,Orange,NA,472.81,NA,NA,NA,029B,"Fit all prms, Dynamics=cat covdelta,c,log10beta,tstartB"
delta_pop,0.147756354,91.4343915,Yellow,NA,472.81,NA,NA,NA,029B,"Fit all prms, Dynamics=cat covdelta,c,log10beta,tstartB"
log10beta_pop,-3.926490252,-16.62635183,NA,NA,472.81,NA,NA,NA,029B,"Fit all prms, Dynamics=cat covdelta,c,log10beta,tstartB"
log10pT0_pop,5.261365975,5.105653797,NA,NA,472.81,NA,NA,NA,029B,"Fit all prms, Dynamics=cat covdelta,c,log10beta,tstartB"
omega_c,2.016326054,110.8334496,Orange,NA,472.81,NA,NA,NA,029B,"Fit all prms, Dynamics=cat covdelta,c,log10beta,tstartB"
omega_delta,1.064034179,25.86900604,NA,NA,472.81,NA,NA,NA,029B,"Fit all prms, Dynamics=cat covdelta,c,log10beta,tstartB"
omega_log10beta,0.232176493,88.72593757,Yellow,NA,472.81,NA,NA,NA,029B,"Fit all prms, Dynamics=cat covdelta,c,log10beta,tstartB"
omega_log10pT0,0.238596405,147.2684985,Orange,NA,472.81,NA,NA,NA,029B,"Fit all prms, Dynamics=cat covdelta,c,log10beta,tstartB"
omega_tstart,0.391844366,42.37176622,NA,NA,472.81,NA,NA,NA,029B,"Fit all prms, Dynamics=cat covdelta,c,log10beta,tstartB"
tstart_pop,3.367927678,35.90148943,NA,NA,472.81,NA,NA,NA,029B,"Fit all prms, Dynamics=cat covdelta,c,log10beta,tstartB"
a,0.607598141,16.72841724,NA,Red= 1,474.63,NA - NA,NA - NA,NA - NA,030B,"Fit all prms, Dynamics=cat covlog10pT0,c,log10beta,tstartB"
beta_c_Dynamics_Rebound,5.125139731,40.32062992,NA,Orange= 2,474.63,NA,NA,NA,030B,"Fit all prms, Dynamics=cat covlog10pT0,c,log10beta,tstartB"
beta_log10beta_Dynamics_Rebound,0.248712495,365.0964263,Red,Yellow= 5,474.63,NA,NA,NA,030B,"Fit all prms, Dynamics=cat covlog10pT0,c,log10beta,tstartB"
beta_log10pT0_Dynamics_Rebound,-0.262022329,-199.1901175,Orange,NA,474.63,NA,NA,NA,030B,"Fit all prms, Dynamics=cat covlog10pT0,c,log10beta,tstartB"
beta_tstart_Dynamics_Rebound,0.893457235,61.5424549,Yellow,NA,474.63,NA,NA,NA,030B,"Fit all prms, Dynamics=cat covlog10pT0,c,log10beta,tstartB"
c_pop,0.231554062,99.31926984,Yellow,NA,474.63,NA,NA,NA,030B,"Fit all prms, Dynamics=cat covlog10pT0,c,log10beta,tstartB"
delta_pop,0.164097382,NA,NA,NA,474.63,NA,NA,NA,030B,"Fit all prms, Dynamics=cat covlog10pT0,c,log10beta,tstartB"
log10beta_pop,-3.936869713,-20.57504765,NA,NA,474.63,NA,NA,NA,030B,"Fit all prms, Dynamics=cat covlog10pT0,c,log10beta,tstartB"
log10pT0_pop,5.426245822,7.840780313,NA,NA,474.63,NA,NA,NA,030B,"Fit all prms, Dynamics=cat covlog10pT0,c,log10beta,tstartB"
omega_c,0.945441317,80.71299942,Yellow,NA,474.63,NA,NA,NA,030B,"Fit all prms, Dynamics=cat covlog10pT0,c,log10beta,tstartB"
omega_delta,1.379976249,95.82681048,Yellow,NA,474.63,NA,NA,NA,030B,"Fit all prms, Dynamics=cat covlog10pT0,c,log10beta,tstartB"
omega_log10beta,0.27983565,198.572517,Orange,NA,474.63,NA,NA,NA,030B,"Fit all prms, Dynamics=cat covlog10pT0,c,log10beta,tstartB"
omega_log10pT0,0.315405536,NA,NA,NA,474.63,NA,NA,NA,030B,"Fit all prms, Dynamics=cat covlog10pT0,c,log10beta,tstartB"
omega_tstart,0.413605722,58.23227495,Yellow,NA,474.63,NA,NA,NA,030B,"Fit all prms, Dynamics=cat covlog10pT0,c,log10beta,tstartB"
tstart_pop,3.53959661,49.82393273,NA,NA,474.63,NA,NA,NA,030B,"Fit all prms, Dynamics=cat covlog10pT0,c,log10beta,tstartB"
a,0.796149526,10.20847276,NA,Red= 0,539.01,delta - log10beta,NA - NA,NA - NA,031B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10beta,tstartB"
beta_c_Dynamics_Rebound,-3.987139769,-72.83304665,Yellow,Orange= 2,539.01,log10pT0 - log10beta,NA,NA,031B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10beta,tstartB"
beta_delta_Dynamics_Rebound,2.065807475,NA,NA,Yellow= 4,539.01,NA,NA,NA,031B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10beta,tstartB"
beta_log10beta_Dynamics_Rebound,3.085229219,NA,NA,NA,539.01,NA,NA,NA,031B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10beta,tstartB"
beta_log10pT0_Dynamics_Rebound,-1.813085983,-36.65738903,NA,NA,539.01,NA,NA,NA,031B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10beta,tstartB"
beta_tstart_Dynamics_Rebound,2.045244886,28.60180523,NA,NA,539.01,NA,NA,NA,031B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10beta,tstartB"
c_pop,49.89793045,NA,NA,NA,539.01,NA,NA,NA,031B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10beta,tstartB"
delta_pop,5.269915963,NA,NA,NA,539.01,NA,NA,NA,031B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10beta,tstartB"
log10beta_pop,-4.245393373,-24.51342127,NA,NA,539.01,NA,NA,NA,031B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10beta,tstartB"
log10pT0_pop,9.553429146,2.983936778,NA,NA,539.01,NA,NA,NA,031B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10beta,tstartB"
omega_c,2.611770673,111.3998559,Orange,NA,539.01,NA,NA,NA,031B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10beta,tstartB"
omega_delta,0.437250391,159.5679463,Orange,NA,539.01,NA,NA,NA,031B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10beta,tstartB"
omega_log10beta,1.257209704,94.56052116,Yellow,NA,539.01,NA,NA,NA,031B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10beta,tstartB"
omega_log10pT0,0.736877716,78.99461369,Yellow,NA,539.01,NA,NA,NA,031B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10beta,tstartB"
omega_tstart,0.416358777,31.48320886,NA,NA,539.01,NA,NA,NA,031B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10beta,tstartB"
tstart_pop,1.730635806,50.69881205,Yellow,NA,539.01,NA,NA,NA,031B,"Fit all prms, Dynamics=cat covdelta,log10pT0,c,log10beta,tstartB"
a,0.791414447,13.96342646,NA,Red= 0,557.85,NA - NA,NA - NA,c - log10beta,01C,"Fit all prms, Dynamics=cat covdeltaC"
beta_delta_Dynamics_Rebound,5.497609809,53.66144457,Yellow,Orange= 1,557.85,NA,NA,NA,01C,"Fit all prms, Dynamics=cat covdeltaC"
c_pop,44.71867216,38.00897244,NA,Yellow= 3,557.85,NA,NA,NA,01C,"Fit all prms, Dynamics=cat covdeltaC"
delta_pop,0.478228726,NA,NA,NA,557.85,NA,NA,NA,01C,"Fit all prms, Dynamics=cat covdeltaC"
log10beta_pop,-2.262685114,-84.19610129,Yellow,NA,557.85,NA,NA,NA,01C,"Fit all prms, Dynamics=cat covdeltaC"
log10pT0_pop,8.296102426,4.700152969,NA,NA,557.85,NA,NA,NA,01C,"Fit all prms, Dynamics=cat covdeltaC"
omega_c,1.377016707,123.4550976,Orange,NA,557.85,NA,NA,NA,01C,"Fit all prms, Dynamics=cat covdeltaC"
omega_delta,1.045660667,96.54093472,Yellow,NA,557.85,NA,NA,NA,01C,"Fit all prms, Dynamics=cat covdeltaC"
omega_log10beta,2.031617624,32.42000948,NA,NA,557.85,NA,NA,NA,01C,"Fit all prms, Dynamics=cat covdeltaC"
omega_log10pT0,0.754371445,28.85232856,NA,NA,557.85,NA,NA,NA,01C,"Fit all prms, Dynamics=cat covdeltaC"
omega_tstart,0.790353816,31.40256658,NA,NA,557.85,NA,NA,NA,01C,"Fit all prms, Dynamics=cat covdeltaC"
tstart_pop,6.004666103,26.63676035,NA,NA,557.85,NA,NA,NA,01C,"Fit all prms, Dynamics=cat covdeltaC"
a,0.819994006,7.888628334,NA,Red= 0,557.2,NA - NA,log10pT0 - log10beta,NA - NA,02C,"Fit all prms, Dynamics=cat covlog10pT0C"
beta_log10pT0_Dynamics_Rebound,-2.55841829,-18.68377313,NA,Orange= 2,557.2,NA,NA,NA,02C,"Fit all prms, Dynamics=cat covlog10pT0C"
c_pop,48.41585085,24.13955007,NA,Yellow= 1,557.2,NA,NA,NA,02C,"Fit all prms, Dynamics=cat covlog10pT0C"
delta_pop,39.79846989,118.988873,Orange,NA,557.2,NA,NA,NA,02C,"Fit all prms, Dynamics=cat covlog10pT0C"
log10beta_pop,-2.296587577,-39.85035084,NA,NA,557.2,NA,NA,NA,02C,"Fit all prms, Dynamics=cat covlog10pT0C"
log10pT0_pop,10.28726967,4.275100373,NA,NA,557.2,NA,NA,NA,02C,"Fit all prms, Dynamics=cat covlog10pT0C"
omega_c,3.863012081,86.28113,Yellow,NA,557.2,NA,NA,NA,02C,"Fit all prms, Dynamics=cat covlog10pT0C"
omega_delta,1.31769313,NA,NA,NA,557.2,NA,NA,NA,02C,"Fit all prms, Dynamics=cat covlog10pT0C"
omega_log10beta,1.463264091,44.30585201,NA,NA,557.2,NA,NA,NA,02C,"Fit all prms, Dynamics=cat covlog10pT0C"
omega_log10pT0,0.346407433,125.7961725,Orange,NA,557.2,NA,NA,NA,02C,"Fit all prms, Dynamics=cat covlog10pT0C"
omega_tstart,0.816553048,36.24684416,NA,NA,557.2,NA,NA,NA,02C,"Fit all prms, Dynamics=cat covlog10pT0C"
tstart_pop,6.42905401,25.87081116,NA,NA,557.2,NA,NA,NA,02C,"Fit all prms, Dynamics=cat covlog10pT0C"
a,0.596330897,7.509516298,NA,Red= 0,478.24,log10pT0 - tstart,NA - NA,log10pT0 - log10beta,03C,"Fit all prms, Dynamics=cat covcC"
beta_c_Dynamics_Rebound,5.477860652,17.0074527,NA,Orange= 1,478.24,NA,NA,NA,03C,"Fit all prms, Dynamics=cat covcC"
c_pop,0.234893582,76.33054411,Yellow,Yellow= 4,478.24,NA,NA,NA,03C,"Fit all prms, Dynamics=cat covcC"
delta_pop,0.171362878,41.6526808,NA,NA,478.24,NA,NA,NA,03C,"Fit all prms, Dynamics=cat covcC"
log10beta_pop,-3.844299093,-11.53903381,NA,NA,478.24,NA,NA,NA,03C,"Fit all prms, Dynamics=cat covcC"
log10pT0_pop,5.400648507,4.485489874,NA,NA,478.24,NA,NA,NA,03C,"Fit all prms, Dynamics=cat covcC"
omega_c,0.372215468,88.29362131,Yellow,NA,478.24,NA,NA,NA,03C,"Fit all prms, Dynamics=cat covcC"
omega_delta,1.272899065,31.89260744,NA,NA,478.24,NA,NA,NA,03C,"Fit all prms, Dynamics=cat covcC"
omega_log10beta,0.300703602,116.7821242,Orange,NA,478.24,NA,NA,NA,03C,"Fit all prms, Dynamics=cat covcC"
omega_log10pT0,0.436717482,70.73484064,Yellow,NA,478.24,NA,NA,NA,03C,"Fit all prms, Dynamics=cat covcC"
omega_tstart,0.667212391,59.52487626,Yellow,NA,478.24,NA,NA,NA,03C,"Fit all prms, Dynamics=cat covcC"
tstart_pop,4.699807217,22.95587735,NA,NA,478.24,NA,NA,NA,03C,"Fit all prms, Dynamics=cat covcC"
a,0.57171071,7.945250658,NA,Red= 0,503.25,NA - NA,NA - NA,delta - tstart,04C,"Fit all prms, Dynamics=cat covlog10betaC"
beta_log10beta_Dynamics_Rebound,0.352511738,97.93021457,Yellow,Orange= 2,503.25,NA,NA,NA,04C,"Fit all prms, Dynamics=cat covlog10betaC"
c_pop,3.735360655,97.56325591,Yellow,Yellow= 6,503.25,NA,NA,NA,04C,"Fit all prms, Dynamics=cat covlog10betaC"
delta_pop,0.265830229,129.572874,Orange,NA,503.25,NA,NA,NA,04C,"Fit all prms, Dynamics=cat covlog10betaC"
log10beta_pop,-4.262573324,-8.038508042,NA,NA,503.25,NA,NA,NA,04C,"Fit all prms, Dynamics=cat covlog10betaC"
log10pT0_pop,5.65784154,12.40140293,NA,NA,503.25,NA,NA,NA,04C,"Fit all prms, Dynamics=cat covlog10betaC"
omega_c,3.085358103,66.64207547,Yellow,NA,503.25,NA,NA,NA,04C,"Fit all prms, Dynamics=cat covlog10betaC"
omega_delta,1.57312555,38.29975613,NA,NA,503.25,NA,NA,NA,04C,"Fit all prms, Dynamics=cat covlog10betaC"
omega_log10beta,0.195593633,120.1829315,Orange,NA,503.25,NA,NA,NA,04C,"Fit all prms, Dynamics=cat covlog10betaC"
omega_log10pT0,0.623382887,61.31921619,Yellow,NA,503.25,NA,NA,NA,04C,"Fit all prms, Dynamics=cat covlog10betaC"
omega_tstart,0.752753232,68.04436563,Yellow,NA,503.25,NA,NA,NA,04C,"Fit all prms, Dynamics=cat covlog10betaC"
tstart_pop,4.047619364,52.08842971,Yellow,NA,503.25,NA,NA,NA,04C,"Fit all prms, Dynamics=cat covlog10betaC"
a,0.597342153,9.169781077,NA,Red= 2,516.84,delta - log10pT0,NA - NA,NA - NA,05C,"Fit all prms, Dynamics=cat covtstartC"
beta_tstart_Dynamics_Rebound,8.487929012,20.22317212,NA,Orange= 2,516.84,log10pT0 - log10beta,NA,NA,05C,"Fit all prms, Dynamics=cat covtstartC"
c_pop,1.523551832,290.9218909,Red,Yellow= 3,516.84,NA,NA,NA,05C,"Fit all prms, Dynamics=cat covtstartC"
delta_pop,0.590232104,214.9174715,Red,NA,516.84,NA,NA,NA,05C,"Fit all prms, Dynamics=cat covtstartC"
log10beta_pop,-4.008844581,-15.20267286,NA,NA,516.84,NA,NA,NA,05C,"Fit all prms, Dynamics=cat covtstartC"
log10pT0_pop,5.78307636,12.49461076,NA,NA,516.84,NA,NA,NA,05C,"Fit all prms, Dynamics=cat covtstartC"
omega_c,2.196377626,74.19535963,Yellow,NA,516.84,NA,NA,NA,05C,"Fit all prms, Dynamics=cat covtstartC"
omega_delta,2.928696317,43.73972727,NA,NA,516.84,NA,NA,NA,05C,"Fit all prms, Dynamics=cat covtstartC"
omega_log10beta,0.805539973,105.2008451,Orange,NA,516.84,NA,NA,NA,05C,"Fit all prms, Dynamics=cat covtstartC"
omega_log10pT0,0.963853782,71.68527619,Yellow,NA,516.84,NA,NA,NA,05C,"Fit all prms, Dynamics=cat covtstartC"
omega_tstart,0.558675743,70.28450977,Yellow,NA,516.84,NA,NA,NA,05C,"Fit all prms, Dynamics=cat covtstartC"
tstart_pop,0.001853809,131.9256744,Orange,NA,516.84,NA,NA,NA,05C,"Fit all prms, Dynamics=cat covtstartC"
a,0.777056032,16.34919373,NA,Red= 0,537.23,NA - NA,NA - NA,delta - log10beta,06C,"Fit all prms, Dynamics=cat covdelta,log10pT0C"
beta_delta_Dynamics_Rebound,-3.316364001,-79.86869127,Yellow,Orange= 1,537.23,NA,NA,NA,06C,"Fit all prms, Dynamics=cat covdelta,log10pT0C"
beta_log10pT0_Dynamics_Rebound,-3.863670992,-29.82595683,NA,Yellow= 5,537.23,NA,NA,NA,06C,"Fit all prms, Dynamics=cat covdelta,log10pT0C"
c_pop,38.27348665,NA,NA,NA,537.23,NA,NA,NA,06C,"Fit all prms, Dynamics=cat covdelta,log10pT0C"
delta_pop,35.46724663,139.6071905,Orange,NA,537.23,NA,NA,NA,06C,"Fit all prms, Dynamics=cat covdelta,log10pT0C"
log10beta_pop,-2.820540916,NA,NA,NA,537.23,NA,NA,NA,06C,"Fit all prms, Dynamics=cat covdelta,log10pT0C"
log10pT0_pop,10.21773683,5.688090116,NA,NA,537.23,NA,NA,NA,06C,"Fit all prms, Dynamics=cat covdelta,log10pT0C"
omega_c,0.963086255,47.69160851,NA,NA,537.23,NA,NA,NA,06C,"Fit all prms, Dynamics=cat covdelta,log10pT0C"
omega_delta,1.430307835,53.86315105,Yellow,NA,537.23,NA,NA,NA,06C,"Fit all prms, Dynamics=cat covdelta,log10pT0C"
omega_log10beta,1.331026997,31.18609405,NA,NA,537.23,NA,NA,NA,06C,"Fit all prms, Dynamics=cat covdelta,log10pT0C"
omega_log10pT0,0.624697465,63.59605509,Yellow,NA,537.23,NA,NA,NA,06C,"Fit all prms, Dynamics=cat covdelta,log10pT0C"
omega_tstart,0.855318232,59.56142684,Yellow,NA,537.23,NA,NA,NA,06C,"Fit all prms, Dynamics=cat covdelta,log10pT0C"
tstart_pop,6.002747669,55.39428339,Yellow,NA,537.23,NA,NA,NA,06C,"Fit all prms, Dynamics=cat covdelta,log10pT0C"
a,0.596389696,9.020176464,NA,Red= 0,484.75,NA - NA,NA - NA,delta - log10beta,07C,"Fit all prms, Dynamics=cat covdelta,cC"
beta_c_Dynamics_Rebound,1.069413154,NA,NA,Orange= 1,484.75,NA,NA,NA,07C,"Fit all prms, Dynamics=cat covdelta,cC"
beta_delta_Dynamics_Rebound,4.137080482,27.96585116,NA,Yellow= 4,484.75,NA,NA,NA,07C,"Fit all prms, Dynamics=cat covdelta,cC"
c_pop,0.074807965,NA,NA,NA,484.75,NA,NA,NA,07C,"Fit all prms, Dynamics=cat covdelta,cC"
delta_pop,2.727430474,57.55341238,Yellow,NA,484.75,NA,NA,NA,07C,"Fit all prms, Dynamics=cat covdelta,cC"
log10beta_pop,-3.818258381,-6.824453537,NA,NA,484.75,NA,NA,NA,07C,"Fit all prms, Dynamics=cat covdelta,cC"
log10pT0_pop,6.25301523,4.150731085,NA,NA,484.75,NA,NA,NA,07C,"Fit all prms, Dynamics=cat covdelta,cC"
omega_c,1.33453273,32.44242702,NA,NA,484.75,NA,NA,NA,07C,"Fit all prms, Dynamics=cat covdelta,cC"
omega_delta,0.687400785,129.7866842,Orange,NA,484.75,NA,NA,NA,07C,"Fit all prms, Dynamics=cat covdelta,cC"
omega_log10beta,0.279706688,69.49052242,Yellow,NA,484.75,NA,NA,NA,07C,"Fit all prms, Dynamics=cat covdelta,cC"
omega_log10pT0,0.562468897,55.26943686,Yellow,NA,484.75,NA,NA,NA,07C,"Fit all prms, Dynamics=cat covdelta,cC"
